isoname	gene	tpm
ABI1-206	ABI1	13.9545
ABI1-207	ABI1	0
ABI1-208	ABI1	0
ABI1-209	ABI1	23.485
ABI1-210	ABI1	0
ABI1-212	ABI1	1.45881
ABI1-213	ABI1	8.63785
ABRAXAS2-201	ABRAXAS2	26.0369
AC000120.4-201	AC000120.4	4.66994
AC004922.1-201	AC004922.1	1.62214
AC005833.1-201	AC005833.1	9.27794
AC005833.1-203	AC005833.1	0.820696
AC007192.1-201	AC007192.1	0.143389
AC008581.2-201	AC008581.2	11.6479
AC008695.1-201	AC008695.1	3.41034e-06
AC008758.1-201	AC008758.1	0.427967
AC008878.2-201	AC008878.2	0
AC010132.3-201	AC010132.3	19.1188
AC010323.1-201	AC010323.1	23.3527
AC010547.4-202	AC010547.4	0.645664
AC010616.1-201	AC010616.1	2.46831
AC012184.2-203	AC012184.2	0
AC013271.1-201	AC013271.1	0.0491842
AC013717.1-201	AC013717.1	0
AC018512.1-201	AC018512.1	0
AC022414.1-201	AC022414.1	0.690798
AC024592.3-201	AC024592.3	0.0594122
AC024592.3-203	AC024592.3	0
AC026464.4-201	AC026464.4	33.638
AC058822.1-201	AC058822.1	0
AC067968.1-201	AC067968.1	0
AC068580.4-201	AC068580.4	0.480682
AC068580.4-202	AC068580.4	0.577095
AC068580.4-203	AC068580.4	0.0766803
AC068580.4-204	AC068580.4	0
AC068831.6-201	AC068831.6	15.5531
AC068946.1-202	AC068946.1	0.74328
AC069257.3-201	AC069257.3	0.759538
AC069503.2-201	AC069503.2	0
AC073610.2-201	AC073610.2	1.08006
AC073896.1-201	AC073896.1	1.88009
AC087721.2-203	AC087721.2	37.5394
AC090527.3-201	AC090527.3	0.3219
AC091959.3-201	AC091959.3	9.63644
AC092647.5-201	AC092647.5	2.25193
AC093155.3-201	AC093155.3	0.457175
AC097634.4-201	AC097634.4	0
AC099489.1-203	AC099489.1	0.0238219
AC112229.3-201	AC112229.3	0.0491842
AC117378.1-201	AC117378.1	8.25026
AC139530.2-201	AC139530.2	1.78633
AC245033.1-201	AC245033.1	1.91368
ACACA-226	ACACA	0
ACACA-231	ACACA	44.9695
ACACA-237	ACACA	0.608141
ACACA-240	ACACA	0
ACACA-245	ACACA	1.99723
ACAD8-201	ACAD8	42.457
ACAD8-202	ACAD8	0.413693
ACAD9-201	ACAD9	30.8201
ACADL-201	ACADL	0
ACADM-202	ACADM	57.0597
ACADM-203	ACADM	47.8348
ACADVL-202	ACADVL	19.5499
ACADVL-203	ACADVL	83.3208
ACADVL-205	ACADVL	10.3029
ACAP1-201	ACAP1	129.224
ACAP1-203	ACAP1	1.68377
ACAP1-210	ACAP1	11.8667
ACAP2-201	ACAP2	25.6427
ACAP2-215	ACAP2	0
ACAT1-201	ACAT1	69.798
ACAT1-215	ACAT1	3.58491
ACAT1-216	ACAT1	0
ACAT1-217	ACAT1	0.716476
ACAT1-218	ACAT1	0.706638
ACAT1-220	ACAT1	0.375904
ACAT2-201	ACAT2	263.885
ACBD3-201	ACBD3	25.6337
ACE-202	ACE	0.0278967
ACE-204	ACE	0
ACE-216	ACE	0.065329
ACHE-208	ACHE	0
ACIN1-203	ACIN1	8.71073
ACIN1-222	ACIN1	24.8327
ACLY-201	ACLY	131.269
ACLY-202	ACLY	15.3457
ACO1-201	ACO1	1.48015
ACO2-201	ACO2	64.7307
ACO2-202	ACO2	2.94793
ACOT7-201	ACOT7	0.159177
ACOT7-202	ACOT7	0
ACOT7-203	ACOT7	0
ACOT7-204	ACOT7	0
ACOT7-210	ACOT7	185.15
ACOX1-201	ACOX1	9.98783
ACOX1-202	ACOX1	3.16162
ACOX1-204	ACOX1	2.9463
ACOX1-205	ACOX1	0
ACOX1-207	ACOX1	2.59422
ACP1-201	ACP1	105.834
ACP1-202	ACP1	53.5632
ACP1-205	ACP1	9.51698
ACP1-206	ACP1	8.13135
ACP1-207	ACP1	1.3282
ACSF3-201	ACSF3	0.405804
ACSF3-202	ACSF3	53.9713
ACSF3-211	ACSF3	6.74825
ACSF3-215	ACSF3	85.1051
ACSF3-219	ACSF3	2.69989
ACSL3-201	ACSL3	13.6818
ACSL4-201	ACSL4	0.794723
ACSL4-202	ACSL4	2.86209
ACSL4-209	ACSL4	9.68574
ACSL4-210	ACSL4	0
ACSS3-201	ACSS3	0
ACSS3-203	ACSS3	0.0244271
ACTA1-202	ACTA1	0.539217
ACTA2-201	ACTA2	3.92993
ACTB-208	ACTB	1398.45
ACTB-212	ACTB	6.39156
ACTC1-201	ACTC1	0
ACTG1-205	ACTG1	1411.01
ACTG2-201	ACTG2	0.893307
ACTG2-203	ACTG2	0.426864
ACTL6A-201	ACTL6A	0
ACTL6A-202	ACTL6A	79.9369
ACTL6A-212	ACTL6A	0.451506
ACTL6B-201	ACTL6B	0
ACTN1-201	ACTN1	36.6259
ACTN1-203	ACTN1	3.6363
ACTN1-204	ACTN1	1.4657e-09
ACTN1-205	ACTN1	3.64494
ACTN4-201	ACTN4	32.0879
ACTR10-201	ACTR10	3.50143
ACTR10-205	ACTR10	0
ACTR1A-201	ACTR1A	99.5663
ACTR1A-205	ACTR1A	2.16127
ACTR1B-201	ACTR1B	32.4173
ACTR2-201	ACTR2	252.884
ACTR2-202	ACTR2	0.956573
ACTR3-201	ACTR3	47.6637
ACTR3-202	ACTR3	1.39235
ACTR3-204	ACTR3	12.6221
ACTR3-208	ACTR3	213.774
ACTR3B-201	ACTR3B	5.1739
ACTR3B-202	ACTR3B	1.94415
ACTR3B-203	ACTR3B	2.59936
ACTR6-201	ACTR6	3.02082
ACTR6-202	ACTR6	3.36116
ACVR1B-201	ACVR1B	12.1514
ACVR1B-202	ACVR1B	0.249468
ACVR1B-203	ACVR1B	1.01924
ACVR1B-205	ACVR1B	0.601565
ADA-201	ADA	896.555
ADA-207	ADA	155.911
ADAM10-201	ADAM10	19.4394
ADAM18-201	ADAM18	0
ADAM18-202	ADAM18	0
ADAM18-204	ADAM18	0
ADAM18-206	ADAM18	0
ADAM2-201	ADAM2	0
ADAM2-202	ADAM2	0
ADAM2-203	ADAM2	0
ADAM2-205	ADAM2	0
ADAMTS1-206	ADAMTS1	6.66029
ADAMTS12-201	ADAMTS12	0
ADAMTS12-203	ADAMTS12	0.0476635
ADAMTS16-201	ADAMTS16	0.0941309
ADAR-201	ADAR	61.7573
ADAT1-202	ADAT1	6.14655
ADD1-201	ADD1	8.79068
ADD1-202	ADD1	1.36367
ADD1-204	ADD1	0.0920346
ADD1-206	ADD1	71.9912
ADD1-210	ADD1	0
ADD1-217	ADD1	5.91638
ADD1-219	ADD1	12.9873
ADD1-229	ADD1	0.0952776
ADD3-201	ADD3	0.564804
ADD3-202	ADD3	41.5986
ADGRF3-201	ADGRF3	0.542972
ADGRF3-202	ADGRF3	1.03914
ADGRF3-203	ADGRF3	0.665401
ADGRF3-210	ADGRF3	0.325374
ADGRG6-201	ADGRG6	0
ADGRG6-202	ADGRG6	0
ADGRG6-203	ADGRG6	0
ADGRG6-204	ADGRG6	0
ADGRV1-201	ADGRV1	0.0214438
ADGRV1-232	ADGRV1	0
ADGRV1-236	ADGRV1	0.04552
ADH5-201	ADH5	79.4506
ADI1-201	ADI1	31.0597
ADI1-202	ADI1	9.77584
ADK-201	ADK	0
ADK-202	ADK	2.66271
ADK-205	ADK	2.81266
ADK-206	ADK	1.72249
ADK-208	ADK	1.1389
ADK-209	ADK	4.28297
ADK-212	ADK	11.902
ADNP-201	ADNP	49.82
ADNP-208	ADNP	0.761506
ADNP-209	ADNP	0.76641
ADO-201	ADO	19.1687
ADPRS-201	ADPRS	30.5846
ADRM1-201	ADRM1	92.8788
ADSL-201	ADSL	41.1165
ADSL-202	ADSL	7.72252
ADSL-208	ADSL	8.31845
ADSL-211	ADSL	4.09482
ADSL-218	ADSL	92.2523
ADSL-220	ADSL	32.3979
ADSL-221	ADSL	0.471524
ADSL-222	ADSL	0.484642
ADSS2-201	ADSS2	70.2207
AEBP1-201	AEBP1	106.374
AEBP1-206	AEBP1	20.851
AF196969.1-201	AF196969.1	0.569807
AFG3L2-201	AFG3L2	55.1848
AGAP2-201	AGAP2	17.8878
AGAP2-202	AGAP2	3.33653
AGAP2-203	AGAP2	1.43425
AGBL3-201	AGBL3	0
AGBL3-202	AGBL3	0.109753
AGBL3-203	AGBL3	0.482731
AGFG1-201	AGFG1	11.0552
AGFG1-202	AGFG1	2.95589
AGFG1-203	AGFG1	27.8706
AGFG1-204	AGFG1	6.74822
AGFG1-205	AGFG1	0.638632
AGFG1-206	AGFG1	0
AGGF1-201	AGGF1	22.4592
AGL-201	AGL	0.346362
AGL-204	AGL	6.06873e-06
AGPS-201	AGPS	25.0403
AGPS-204	AGPS	21.4018
AGPS-205	AGPS	1.81254
AGTPBP1-201	AGTPBP1	0
AGTPBP1-202	AGTPBP1	13.9323
AGTPBP1-205	AGTPBP1	6.01856
AGTPBP1-208	AGTPBP1	0
AHCTF1-201	AHCTF1	40.7875
AHCTF1-202	AHCTF1	0.413678
AHCTF1-207	AHCTF1	3.52508
AHCY-201	AHCY	171.085
AHCYL1-202	AHCYL1	71.0046
AHSA1-201	AHSA1	268.415
AIFM1-201	AIFM1	62.8006
AIFM1-203	AIFM1	0
AIFM1-205	AIFM1	1.03122
AIFM1-210	AIFM1	1.124
AIFM1-220	AIFM1	0.391727
AIFM1-221	AIFM1	0.888154
AIFM1-223	AIFM1	0.403834
AIFM1-226	AIFM1	0
AIFM1-230	AIFM1	1.00943
AIFM1-231	AIFM1	0
AIMP1-201	AIMP1	0.733498
AIMP1-202	AIMP1	27.3154
AIMP2-201	AIMP2	64.2449
AIMP2-202	AIMP2	5.97219
AIP-201	AIP	106.931
AIP-203	AIP	33.0679
AK6-201	AK6	19.9465
AK6-202	AK6	11.6429
AK6-204	AK6	70.0422
AKAP13-201	AKAP13	0
AKAP13-202	AKAP13	14.9777
AKAP13-203	AKAP13	6.82316
AKAP13-211	AKAP13	0
AKAP13-221	AKAP13	2.38157
AKAP13-222	AKAP13	0
AKAP6-201	AKAP6	0.22905
AKAP8L-201	AKAP8L	42.5245
AKAP9-201	AKAP9	13.6366
AKAP9-202	AKAP9	0.471957
AKAP9-203	AKAP9	0
AKAP9-217	AKAP9	3.23809
AKAP9-218	AKAP9	1.16437
AKR1A1-201	AKR1A1	59.1399
AKR1A1-203	AKR1A1	22.6596
AKR1A1-204	AKR1A1	24.201
AKR1A1-209	AKR1A1	2.17394
AKR1B1-201	AKR1B1	146.666
AKR1B1-203	AKR1B1	13.7703
AKR7A2-201	AKR7A2	49.6701
AKR7A2-202	AKR7A2	0.646398
AKT1-201	AKT1	0.325965
AKT2-201	AKT2	4.5332
AKT2-202	AKT2	3.18245
AKT2-205	AKT2	2.66711
AKT2-206	AKT2	23.951
AKT2-207	AKT2	1.51048
AKT2-208	AKT2	3.20716
AKT2-209	AKT2	10.9951
AKT2-211	AKT2	6.82026
AKT2-212	AKT2	1.04369
AKT2-213	AKT2	0
AKT2-214	AKT2	0
AKT2-219	AKT2	24.1594
AKT2-229	AKT2	0
AKT2-239	AKT2	1.25279
AKT2-241	AKT2	3.85181
AKT2-244	AKT2	6.25676
AL031681.3-201	AL031681.3	0
AL031777.2-201	AL031777.2	0.200793
AL031777.2-202	AL031777.2	0.230965
AL031777.2-203	AL031777.2	0
AL035078.4-202	AL035078.4	6.40694
AL049629.2-201	AL049629.2	0.231465
AL049629.2-202	AL049629.2	0.180781
AL049629.2-203	AL049629.2	0
AL133352.1-201	AL133352.1	0.98244
AL133352.1-202	AL133352.1	0.141962
AL133352.1-203	AL133352.1	0.560723
AL136295.5-201	AL136295.5	5.15895
AL139300.1-201	AL139300.1	4.31083
AL159163.1-201	AL159163.1	0.295705
AL357075.4-201	AL357075.4	0
AL359736.1-201	AL359736.1	0.214062
AL513165.2-203	AL513165.2	0.684114
AL669918.1-201	AL669918.1	5.79654
AL928654.3-201	AL928654.3	0.889729
ALB-201	ALB	0
ALB-204	ALB	0
ALB-214	ALB	0
ALDH18A1-201	ALDH18A1	17.8923
ALDH18A1-202	ALDH18A1	80.249
ALDH1L1-201	ALDH1L1	0
ALDH1L1-203	ALDH1L1	0
ALDH1L1-205	ALDH1L1	0
ALDH4A1-201	ALDH4A1	0
ALDH4A1-205	ALDH4A1	0.483917
ALDH5A1-201	ALDH5A1	2.81621
ALDH5A1-202	ALDH5A1	14.2254
ALDH5A1-204	ALDH5A1	0
ALDH5A1-206	ALDH5A1	12.2415
ALDH9A1-201	ALDH9A1	40.5308
ALDOA-202	ALDOA	0.913156
ALDOA-218	ALDOA	2.29968
ALDOC-201	ALDOC	18.2919
ALG5-201	ALG5	41.022
ALKBH2-201	ALKBH2	13.7753
ALKBH2-204	ALKBH2	1.52151
ALKBH2-207	ALKBH2	3.5712
ALKBH5-201	ALKBH5	46.4757
ALOX15B-201	ALOX15B	0
ALOX15B-205	ALOX15B	0
ALYREF-202	ALYREF	297.611
AMER1-201	AMER1	6.57159
AMPD2-201	AMPD2	1.8354
AMPD2-202	AMPD2	12.388
AMPD2-203	AMPD2	5.73658
AMPD2-217	AMPD2	7.53901
AMPD2-231	AMPD2	1.50727
AMPH-201	AMPH	1.73106
AMPH-202	AMPH	0
AMPH-203	AMPH	0.102238
ANAPC1-201	ANAPC1	43.4558
ANAPC4-201	ANAPC4	29.6447
ANAPC4-210	ANAPC4	12.9441
ANAPC7-201	ANAPC7	26.4809
ANAPC7-203	ANAPC7	38.5852
ANK2-201	ANK2	0
ANK2-202	ANK2	0
ANK2-206	ANK2	0.0680244
ANK2-232	ANK2	0
ANK2-236	ANK2	0
ANK2-238	ANK2	0
ANK2-240	ANK2	0
ANK2-242	ANK2	0
ANK2-244	ANK2	0
ANK2-246	ANK2	0
ANK2-248	ANK2	0
ANK2-250	ANK2	0
ANK2-266	ANK2	0
ANK2-270	ANK2	0
ANK2-271	ANK2	0
ANK2-278	ANK2	0
ANK2-282	ANK2	0
ANK2-283	ANK2	0
ANK2-285	ANK2	0
ANK2-291	ANK2	0
ANK2-292	ANK2	0
ANKEF1-201	ANKEF1	6.15295
ANKHD1-203	ANKHD1	0.0758591
ANKHD1-204	ANKHD1	0.583782
ANKHD1-205	ANKHD1	10.3725
ANKHD1-207	ANKHD1	16.6246
ANKHD1-221	ANKHD1	0
ANKHD1-EIF4EBP3-203	ANKHD1-EIF4EBP3	19.3586
ANKLE2-201	ANKLE2	48.6412
ANKLE2-206	ANKLE2	15.7475
ANKLE2-208	ANKLE2	4.24322
ANKRD17-201	ANKRD17	17.1936
ANKRD17-202	ANKRD17	4.12213
ANKRD17-203	ANKRD17	20.0648
ANKRD17-207	ANKRD17	19.716
ANKRD17-211	ANKRD17	0
ANKRD2-201	ANKRD2	0
ANKRD2-202	ANKRD2	0
ANKRD28-201	ANKRD28	2.32545
ANKRD28-204	ANKRD28	3.17382
ANKRD28-215	ANKRD28	22.7065
ANKRD42-201	ANKRD42	0
ANKRD42-203	ANKRD42	0.79481
ANKRD42-208	ANKRD42	0
ANKRD42-209	ANKRD42	0.835295
ANKRD46-210	ANKRD46	0
ANLN-201	ANLN	26.9168
ANLN-202	ANLN	8.74933
ANLN-204	ANLN	0
ANO6-201	ANO6	30.8298
ANO6-202	ANO6	4.48902
ANO6-203	ANO6	0.893618
ANO6-205	ANO6	0.732996
ANO9-201	ANO9	0.507967
ANP32A-203	ANP32A	121.476
ANP32E-203	ANP32E	1.70281
ANP32E-208	ANP32E	116.669
ANP32E-209	ANP32E	9.73772
ANTXR1-201	ANTXR1	3.98962
ANTXR1-202	ANTXR1	0
ANTXR1-203	ANTXR1	0.330647
ANTXR1-206	ANTXR1	0
ANXA1-201	ANXA1	197.921
ANXA11-201	ANXA11	71.6818
ANXA11-202	ANXA11	1.60366
ANXA2-201	ANXA2	0
ANXA2-202	ANXA2	0
ANXA2-210	ANXA2	0
ANXA2-214	ANXA2	0
ANXA2-218	ANXA2	7.51913e-05
ANXA2-226	ANXA2	0
ANXA2-228	ANXA2	0.0423315
ANXA2-230	ANXA2	0.925189
ANXA2-232	ANXA2	0
ANXA6-201	ANXA6	52.6592
ANXA7-201	ANXA7	17.5941
ANXA7-202	ANXA7	47.7606
AOC1-201	AOC1	0
AOC1-202	AOC1	0.048589
AOC2-201	AOC2	1.60839
AOC2-202	AOC2	0.204413
AP000356.5-201	AP000356.5	2.35634
AP000356.5-203	AP000356.5	0.808636
AP000944.5-201	AP000944.5	1.68463
AP002990.1-202	AP002990.1	6.15687
AP003108.2-202	AP003108.2	23.51
AP1B1-202	AP1B1	5.10274e-06
AP1B1-203	AP1B1	1.09131
AP1G1-201	AP1G1	37.703
AP1G1-202	AP1G1	5.39539
AP1M1-201	AP1M1	2.29651
AP1M1-202	AP1M1	0.937706
AP1M1-203	AP1M1	38.8562
AP2A1-201	AP2A1	31.7257
AP2A2-201	AP2A2	0
AP2A2-202	AP2A2	9.68164
AP2B1-221	AP2B1	53.2142
AP2M1-201	AP2M1	142.026
AP2M1-202	AP2M1	3.13196
AP2M1-203	AP2M1	3.70127
AP2M1-222	AP2M1	8.9356
AP3B1-201	AP3B1	25.1187
AP3B1-204	AP3B1	0.678611
AP3D1-201	AP3D1	1.28111
AP3D1-208	AP3D1	5.45725
AP3D1-212	AP3D1	22.5564
AP3D1-213	AP3D1	21.6601
AP3S1-201	AP3S1	58.9028
AP3S1-204	AP3S1	3.62948
AP5S1-201	AP5S1	0.00101262
APBB1IP-202	APBB1IP	88.5536
APEH-201	APEH	39.6709
APEH-202	APEH	19.8379
APEX1-201	APEX1	239.516
APEX1-206	APEX1	8.7859
APEX1-215	APEX1	5.07247
APEX2-201	APEX2	22.6019
API5-201	API5	34.7781
API5-208	API5	34.9402
API5-210	API5	12.7441
APMAP-201	APMAP	48.2458
APMAP-202	APMAP	6.50224
APOB-201	APOB	0
APOBEC2-201	APOBEC2	0.911258
APOL3-201	APOL3	2.04468
APOL3-207	APOL3	1.87519
APPL1-201	APPL1	32.6323
AQP4-201	AQP4	0.0124699
AQP4-203	AQP4	0.080227
AQP4-204	AQP4	0
AQP4-209	AQP4	0.0124699
AQP4-210	AQP4	0
AQR-201	AQR	16.0594
AQR-202	AQR	18.1199
AQR-206	AQR	0.305444
ARAP1-201	ARAP1	15.2967
ARAP1-202	ARAP1	0.123424
ARAP1-203	ARAP1	3.09225
ARAP1-204	ARAP1	4.04566
ARAP1-205	ARAP1	1.33362e-09
ARAP1-207	ARAP1	0.559118
ARAP1-209	ARAP1	7.50346
ARCN1-201	ARCN1	91.2384
ARCN1-202	ARCN1	2.40662
ARF1-201	ARF1	248.255
ARF3-201	ARF3	76.622
ARF3-207	ARF3	4.76188
ARF5-201	ARF5	126.206
ARF5-202	ARF5	0.536592
ARF6-201	ARF6	58.3922
ARFGAP1-201	ARFGAP1	5.05556
ARFGAP1-202	ARFGAP1	8.40977
ARFGAP1-203	ARFGAP1	39.6076
ARFGAP1-206	ARFGAP1	2.79072
ARFGAP1-212	ARFGAP1	0
ARFGAP1-214	ARFGAP1	0
ARFGAP1-215	ARFGAP1	0
ARFGAP1-220	ARFGAP1	0
ARFGAP1-221	ARFGAP1	10.391
ARFGAP1-223	ARFGAP1	0.618785
ARFGAP3-201	ARFGAP3	47.5221
ARFGAP3-203	ARFGAP3	0.649059
ARFGEF1-201	ARFGEF1	27.8408
ARFGEF1-207	ARFGEF1	4.35439
ARFIP1-201	ARFIP1	6.38348
ARFIP1-202	ARFIP1	6.02937
ARFIP1-204	ARFIP1	0
ARHGAP1-201	ARHGAP1	24.516
ARHGAP17-201	ARHGAP17	8.43056
ARHGAP17-202	ARHGAP17	15.6104
ARHGAP17-203	ARHGAP17	0.380444
ARHGAP27-202	ARHGAP27	11.0662
ARHGAP27-203	ARHGAP27	0.692212
ARHGAP27-209	ARHGAP27	0.329456
ARHGAP27-212	ARHGAP27	17.8831
ARHGAP27-214	ARHGAP27	0
ARHGAP30-201	ARHGAP30	111.884
ARHGAP30-202	ARHGAP30	9.57411
ARHGAP42-201	ARHGAP42	1.71274
ARHGAP42-204	ARHGAP42	0.483729
ARHGAP42-208	ARHGAP42	1.62402
ARHGDIA-201	ARHGDIA	166.216
ARHGDIB-201	ARHGDIB	1997.05
ARHGEF1-201	ARHGEF1	25.231
ARHGEF1-202	ARHGEF1	0
ARHGEF1-203	ARHGEF1	46.7631
ARHGEF1-204	ARHGEF1	6.06979
ARHGEF1-219	ARHGEF1	6.56833
ARHGEF2-201	ARHGEF2	28.2916
ARHGEF2-202	ARHGEF2	16.1047
ARHGEF2-203	ARHGEF2	46.7849
ARHGEF2-206	ARHGEF2	0.961216
ARHGEF2-220	ARHGEF2	0.3802
ARHGEF6-201	ARHGEF6	162.386
ARHGEF6-202	ARHGEF6	0.728512
ARHGEF7-201	ARHGEF7	0
ARHGEF7-202	ARHGEF7	0
ARHGEF7-203	ARHGEF7	0.565027
ARHGEF7-204	ARHGEF7	12.7122
ARHGEF7-205	ARHGEF7	0.0119911
ARHGEF7-206	ARHGEF7	0.471732
ARHGEF7-211	ARHGEF7	12.7516
ARHGEF7-220	ARHGEF7	0.240808
ARID1A-201	ARID1A	1.24807
ARID1A-202	ARID1A	5.80209
ARID1A-204	ARID1A	2.50917
ARID1A-212	ARID1A	82.9161
ARID2-201	ARID2	22.423
ARID2-205	ARID2	2.47183
ARID3B-201	ARID3B	12.4951
ARID3B-206	ARID3B	4.5483
ARID4B-201	ARID4B	27.4963
ARID4B-202	ARID4B	1.8089
ARID4B-204	ARID4B	2.42029e-09
ARID4B-205	ARID4B	4.08402
ARIH1-201	ARIH1	10.4676
ARIH2-201	ARIH2	34.6852
ARL1-201	ARL1	21.2398
ARL1-202	ARL1	11.6759
ARL1-203	ARL1	1.56844
ARL1-209	ARL1	8.41173
ARL1-210	ARL1	1.23232
ARL2BP-201	ARL2BP	52.7237
ARL2BP-203	ARL2BP	1.4671
ARL3-201	ARL3	11.4198
ARL6-201	ARL6	1.38732
ARL8B-201	ARL8B	40.9964
ARL8B-202	ARL8B	1.85256
ARMC1-201	ARMC1	50.8915
ARMC1-202	ARMC1	0.680975
ARMC4-201	ARMC4	0
ARMC6-201	ARMC6	5.92969
ARMC6-203	ARMC6	25.8381
ARMC6-204	ARMC6	0.260528
ARMC6-210	ARMC6	0
ARMC6-215	ARMC6	0.567159
ARMC6-216	ARMC6	8.96564
ARMC6-217	ARMC6	0
ARMC6-220	ARMC6	0.396467
ARMT1-201	ARMT1	25.7039
ARMT1-204	ARMT1	0.174186
ARPC2-201	ARPC2	10.0531
ARPC3-201	ARPC3	393.794
ARPC5-201	ARPC5	144.891
ARPC5-202	ARPC5	21.2643
ARPC5-203	ARPC5	89.2252
ARRB2-201	ARRB2	54.627
ARRB2-202	ARRB2	6.03057
ARRB2-203	ARRB2	13.5798
ARRB2-204	ARRB2	2.90547
ARRB2-207	ARRB2	10.019
ARRB2-208	ARRB2	0
ARSG-201	ARSG	2.71158
ARSG-202	ARSG	1.37174
ASAH1-201	ASAH1	0
ASAH1-202	ASAH1	2.82055
ASAH1-209	ASAH1	1.07588
ASAH1-213	ASAH1	0
ASAH1-216	ASAH1	0
ASAH1-220	ASAH1	0.181504
ASAH1-222	ASAH1	0.199589
ASAH1-230	ASAH1	2.38507
ASAH1-231	ASAH1	0.267968
ASAH1-235	ASAH1	4.2978
ASAH1-239	ASAH1	3.26592e-05
ASAH1-248	ASAH1	0
ASAH1-253	ASAH1	0
ASAH1-255	ASAH1	0
ASAH1-266	ASAH1	0
ASAP2-201	ASAP2	6.90165
ASAP2-202	ASAP2	3.23256
ASCC1-201	ASCC1	6.77346
ASCC1-202	ASCC1	6.42888
ASCC1-203	ASCC1	3.20589
ASCC1-209	ASCC1	2.54065
ASCC1-211	ASCC1	3.07596
ASCC1-213	ASCC1	0
ASCC1-215	ASCC1	0
ASCC1-220	ASCC1	2.11818e-06
ASCC1-222	ASCC1	3.60113
ASCC1-224	ASCC1	5.80744
ASCC1-226	ASCC1	3.10748
ASCC2-201	ASCC2	26.7282
ASCC2-223	ASCC2	1.39088
ASCC3-204	ASCC3	19.7493
ASCC3-207	ASCC3	0.0692003
ASF1A-201	ASF1A	73.1188
ASH1L-201	ASH1L	4.38588e-06
ASH1L-202	ASH1L	16.6118
ASH2L-201	ASH2L	12.2825
ASH2L-202	ASH2L	27.5111
ASH2L-207	ASH2L	7.24291
ASH2L-212	ASH2L	0.193533
ASIC5-201	ASIC5	0
ASMTL-201	ASMTL	7.59324
ASMTL-201	ASMTL	7.59324
ASMTL-202	ASMTL	0.200956
ASMTL-202	ASMTL	0.200956
ASMTL-206	ASMTL	0.258978
ASMTL-206	ASMTL	0.258978
ASS1-201	ASS1	10.8208
ATAD2-201	ATAD2	75.8008
ATAD3A-202	ATAD3A	8.77213
ATAD3A-203	ATAD3A	17.7672
ATAD3A-204	ATAD3A	10.3334
ATAD3A-207	ATAD3A	22.396
ATE1-201	ATE1	0
ATE1-202	ATE1	0
ATE1-203	ATE1	12.2704
ATE1-204	ATE1	3.48864
ATE1-205	ATE1	1.64913
ATE1-208	ATE1	1.66712
ATF2-201	ATF2	25.0136
ATF2-202	ATF2	4.29693
ATF2-204	ATF2	0.12551
ATF2-207	ATF2	0.111416
ATF2-210	ATF2	1.75565
ATF2-211	ATF2	0
ATF2-212	ATF2	0.46361
